date, pm25
2018/10/7, 102
2018/10/8, 118
2018/10/9, 100
2018/10/10, 89
2018/10/11, 84
2018/10/12, 89
2018/10/13, 86
2018/10/14, 72
2018/10/15, 56
2018/10/16, 44
2018/10/17, 50
2018/10/18, 106
2018/10/25, 53
2018/10/26, 66
2018/10/27, 69
2018/10/28, 62
2018/10/29, 110
2018/10/30, 103
2018/10/31, 91
2018/11/1, 101
2018/11/2, 108
2018/11/3, 101
2018/11/4, 69
2018/11/5, 91
2018/11/6, 91
2018/11/7, 50
2018/11/8, 42
2018/11/9, 46
2018/11/10, 59
2018/11/11, 57
2018/11/12, 73
2018/11/13, 78
2018/11/14, 80
2018/11/15, 83
2018/11/16, 77
2018/11/17, 78
2018/11/18, 74
2018/11/19, 47
2018/11/20, 53
2018/11/21, 77
2018/11/22, 90
2018/11/23, 73
2018/11/24, 58
2018/11/25, 31
2018/11/26, 38
2018/11/27, 48
2018/11/28, 99
2018/11/29, 68
2018/11/30, 93
2018/12/1, 79
2018/12/2, 67
2018/12/3, 91
2018/12/4, 82
2018/12/5, 61
2018/12/6, 77
2018/12/7, 91
2018/12/8, 57
2018/12/9, 76
2018/12/10, 52
2018/12/11, 74
2018/12/12, 93
2018/12/13, 80
2018/12/14, 80
2018/12/15, 67
2018/12/16, 64
2018/12/17, 105
2018/12/21, 112
2018/12/22, 104
2018/12/23, 121
2018/12/24, 86
2018/12/25, 98
2018/12/26, 77
2018/12/27, 91
2018/12/28, 111
2018/12/29, 100
2018/12/30, 79
2018/7/1, 60
2018/7/2, 62
2018/7/3, 50
2018/7/4, 32
2018/7/5, 42
2018/7/6, 52
2018/7/7, 53
2018/7/8, 55
2018/7/9, 56
2018/7/10, 57
2018/7/11, 44
2018/7/12, 32
2018/7/13, 41
2018/7/14, 49
2018/7/15, 59
2018/7/16, 58
2018/7/17, 50
2018/7/18, 49
2018/7/19, 61
2018/7/20, 70
2018/7/21, 62
2018/7/22, 58
2018/7/23, 62
2018/7/24, 58
2018/7/25, 69
2018/7/26, 71
2018/7/27, 65
2018/7/28, 60
2018/7/29, 52
2018/7/30, 51
2018/7/31, 76
2018/8/1, 81
2018/8/2, 61
2018/8/3, 66
2018/8/4, 60
2018/8/5, 64
2018/8/6, 80
2018/8/7, 78
2018/8/8, 65
2018/8/9, 60
2018/8/10, 52
2018/8/11, 53
2018/8/12, 59
2018/8/13, 64
2018/8/14, 83
2018/8/15, 73
2018/8/16, 73
2018/8/17, 58
2018/8/18, 58
2018/8/19, 65
2018/8/20, 64
2018/8/21, 64
2018/8/22, 65
2018/8/23, 58
2018/8/24, 62
2018/8/25, 61
2018/8/26, 54
2018/8/27, 64
2018/8/28, 60
2018/8/29, 73
2018/8/30, 63
2018/8/31, 77
2018/9/1, 66
2018/9/2, 69
2018/9/3, 53
2018/9/4, 61
2018/9/5, 52
2018/9/6, 53
2018/9/7, 75
2018/9/8, 78
2018/9/9, 82
2018/9/10, 63
2018/9/11, 73
2018/9/12, 62
2018/9/13, 79
2018/9/14, 55
2018/9/15, 54
2018/9/16, 43
2018/9/17, 39
2018/9/18, 45
2018/9/19, 68
2018/9/20, 102
2018/9/21, 77
2018/9/22, 71
2018/9/23, 93
2018/9/24, 121
2018/9/25, 71
2018/9/26, 63
2018/9/27, 62
2018/9/28, 64
2018/9/29, 68
2018/9/30, 39
2018/4/1, 91
2018/4/2, 88
2018/4/3, 74
2018/4/4, 66
2018/4/5, 65
2018/4/6, 68
2018/4/7, 77
2018/4/8, 98
2018/4/9, 112
2018/4/10, 89
2018/4/11, 60
2018/4/12, 58
2018/4/13, 59
2018/4/14, 59
2018/4/15, 60
2018/4/16, 66
2018/4/17, 73
2018/4/18, 91
2018/4/19, 72
2018/4/20, 76
2018/4/21, 76
2018/4/22, 83
2018/4/23, 77
2018/4/24, 59
2018/4/25, 51
2018/4/27, 49
2018/4/28, 46
2018/4/29, 49
2018/4/30, 57
2018/5/1, 53
2018/5/2, 46
2018/5/3, 56
2018/5/4, 82
2018/5/5, 88
2018/5/6, 59
2018/5/7, 80
2018/5/8, 84
2018/5/9, 71
