date, pm25, pm10, o3, no2, so2, co
2020/7/19, , , 40, , 6, 
2020/7/20, , , 40, , 6, 
2020/7/21, , , 35, , 6, 
2020/7/22, , , 38, , 6, 
2020/7/23, , , 41, , 6, 
2020/7/24, , , 45, , 6, 
2020/7/25, , , 45, , 6, 
2020/7/26, , , 42, 1, 7, 
2020/7/27, , , 59, 5, 6, 
2020/8/3, , , 28, 7, 9, 
2020/8/4, , , 36, 3, 9, 
2020/8/5, , , 31, 3, 9, 
2020/8/6, , , 30, 3, 9, 
2020/8/7, , , 37, 3, 8, 
2020/8/8, , , 42, 3, 8, 
2020/8/9, , , 61, 2, 7, 
2020/8/10, , , 63, 2, 8, 
2020/8/11, , , 42, 2, 7, 
2020/8/12, , , 36, 2, 9, 
2020/8/13, , , 28, 3, 10, 
2020/8/14, , , 27, 4, 10, 
2020/8/15, , , 40, 3, 9, 
2020/8/16, , , 32, 4, 10, 
2020/8/17, , , 32, 7, 10, 
2020/8/18, , , 35, 5, 10, 
2020/8/19, , , 35, 5, 8, 
2020/8/20, , , 39, 5, 7, 
2020/8/21, , , 37, 3, 7, 
2020/8/22, , , 44, 2, 7, 
2020/8/23, , , 88, 2, 7, 
2020/8/24, , , 96, 3, 7, 
2020/8/25, , , 76, 4, 6, 
2020/8/26, , , 95, 5, 6, 
2020/8/27, , , 67, 3, 6, 
2020/8/28, , , 70, 3, 6, 
2020/8/29, , , 93, 2, 6, 
2020/8/30, , , 96, 2, 6, 
2020/8/31, , , 101, 4, 6, 
2020/9/1, , , 106, 4, 6, 
2020/9/2, , , 130, 3, 6, 
2020/9/3, , , 79, 4, 6, 
2020/9/4, , , 38, 4, 6, 
2020/9/5, , , 36, 2, 6, 
2020/9/6, , , 23, 4, 7, 
2020/9/7, , , 28, 8, 8, 
2020/9/8, , , 26, 6, 7, 
2020/9/9, , , 27, 8, 7, 
2020/9/10, , , 30, 4, 6, 
2020/9/11, , , 27, 3, 6, 
2020/9/12, , , 21, 5, 6, 
2020/9/13, , , 22, 7, 7, 
2020/9/14, , , 25, 4, 6, 
2020/9/15, , , 21, 5, 6, 
2020/9/16, , , 33, 7, 8, 
2020/9/17, , , 23, 4, 7, 
2020/9/18, , , 19, , 8, 
2020/9/19, , , 13, , 10, 
2020/9/20, , , 21, 3, 8, 
2020/9/21, , , 18, 3, 7, 
2020/9/22, , , 18, 7, 7, 
2020/9/23, , , 30, , 8, 
2020/9/24, , , 30, , 8, 
2020/9/25, , , 28, 2, 7, 
2020/9/26, , , 22, , 8, 
2020/9/27, , , 29, 5, 9, 
2020/9/28, , , 40, 2, 8, 
2020/9/29, , , 28, 3, 7, 
2020/9/30, , , 21, 8, 9, 
2020/7/28, , , , 7, 6, 
2020/7/29, , , , 4, 7, 
2020/7/30, , , , 5, 7, 
2020/7/31, , , , 2, 7, 
2020/8/1, , , , 1, 9, 
2020/8/2, , , , 6, 9, 
