date, pm25, pm10, o3, no2, so2, co
2020/5/17, 27, 12, 44, 10, , 2
2020/5/18, 18, 14, 38, 12, , 2
2020/5/19, 24, 18, , 9, , 
2020/5/20, 28, 24, , 12, , 
2020/5/21, 35, 20, , 11, , 
2020/5/22, 26, 14, , 8, , 
2020/5/23, 25, 15, , 7, , 
2020/5/24, 28, 16, , 7, , 
2020/5/25, 26, 14, , 10, , 
2020/5/26, 22, 14, , 9, , 
2020/5/27, 24, 21, , 9, , 
2020/5/28, 34, 20, , 9, , 
2020/5/29, 34, 16, , 7, , 
2020/5/30, 28, 23, , 10, , 
2020/5/31, 36, 15, , 9, , 
2020/6/1, 24, 19, , 10, , 
2020/6/2, 31, 22, , 9, , 
2020/6/3, 35, 19, , 8, , 
2020/6/4, 32, 22, , 11, , 
2020/6/5, 38, 30, , 9, , 
2020/6/6, 54, 35, , 12, , 
2020/6/7, 58, 23, , 14, , 
2020/6/8, 35, 21, , 10, , 
2020/6/9, 30, 22, , 10, , 
2020/6/10, 39, , , , , 
2020/6/14, 19, 11, 43, 7, , 1
2020/6/15, 22, 11, 36, 9, , 
2020/6/16, 19, 11, 32, 11, , 
2020/6/17, 15, 8, 41, 7, , 
2020/6/18, 14, 14, 38, 8, , 
2020/6/19, 24, 10, 38, 8, , 
2020/6/20, 17, 9, 33, 7, , 
2020/6/21, 15, 12, 37, 8, , 
2020/6/22, 19, 10, 37, 7, , 
2020/6/23, 14, 10, 29, 10, , 
2020/6/24, 15, 16, 36, 7, , 
2020/6/25, 27, 13, 31, 11, , 
2020/6/26, 23, 1, 31, 9, , 2
2020/6/27, 1, , 38, 6, , 1
2020/1/2, 11, , , 12, , 2
2020/1/6, 18, 19, 25, 18, , 3
2020/1/7, 32, 21, 23, 20, , 2
2020/1/8, 33, 25, 36, 14, , 2
2020/1/9, 40, 20, 24, 16, , 2
2020/1/10, 31, 23, 21, 14, , 2
2020/1/11, 36, 22, 9, 12, , 4
2020/1/12, 34, 42, 8, 21, , 5
2020/1/13, 79, 36, 12, 18, , 5
2020/1/14, 68, 39, 25, 17, , 5
2020/1/15, 68, 28, 33, 11, , 2
2020/1/16, 49, 29, 7, 11, , 4
2020/1/17, 51, 33, 11, 13, , 5
2020/1/18, 64, 30, 13, 11, , 5
2020/1/19, 55, 37, 11, 12, , 5
2020/1/20, 70, 37, 13, 12, , 5
2020/1/21, 72, 37, 14, 11, , 5
2020/1/22, 70, 46, 27, 11, , 7
2020/1/23, 93, 19, 29, 4, , 1
2020/1/24, 37, 13, 23, 6, , 2
2020/1/25, 26, 9, 14, 5, , 3
2020/1/26, 16, 16, 16, 6, , 4
2020/1/27, 30, 25, 9, 10, , 4
2020/1/28, 46, 40, 6, 8, , 4
2020/1/29, 77, 46, 18, 14, , 5
2020/1/30, 88, 55, 27, 18, , 5
2020/1/31, 110, 51, 14, 11, , 4
2020/2/1, 106, 49, 13, 11, , 3
2020/2/2, 96, 31, 15, 10, , 3
2020/2/3, 59, 15, 16, 11, , 4
2020/2/4, 30, 22, 18, 11, , 4
2020/2/5, 43, 21, 18, 12, , 4
2020/2/6, 39, 27, 21, 13, , 4
2020/2/7, 53, 17, 19, 9, , 3
2020/2/8, 32, 19, 13, 8, , 4
2020/2/9, 34, 32, 13, 12, , 3
2020/2/10, 57, 33, 15, 12, , 4
2020/2/11, 61, 27, 19, 11, , 3
2020/2/12, 49, 31, 29, 12, , 3
2020/2/13, 58, 26, 41, 10, , 2
2020/2/14, 47, 30, 42, 9, , 2
2020/2/15, 54, 30, 16, 11, , 3
2020/2/16, 45, 38, 14, 15, , 3
2020/2/17, 58, 43, 26, 15, , 3
2020/2/18, 73, 48, 23, 16, , 3
2020/2/19, 89, 67, 15, 16, , 4
2020/2/20, 150, 67, 18, 16, , 4
2020/2/21, 151, 59, 22, 18, , 5
2020/2/22, 123, 69, 20, 14, , 6
2020/2/23, 142, 41, 28, 11, , 2
2020/2/24, 73, 41, 22, 14, , 2
2020/2/25, 75, 38, 30, 12, , 2
2020/2/26, 68, 29, 29, 13, , 2
2020/2/27, 46, 21, 26, 12, , 1
2020/2/28, 35, 21, 16, 14, , 2
2020/2/29, 35, 26, 30, 12, , 1
2020/3/1, 47, 25, 33, 13, , 2
2020/3/2, 47, 16, 26, 9, , 1
2020/3/3, 31, 12, 22, 12, , 2
2020/3/4, 24, 21, 19, 11, , 3
2020/3/5, 38, 34, 20, 16, , 4
2020/3/6, 59, 34, 22, 26, , 4
2020/3/7, 60, 33, 63, 12, , 3
2020/3/8, 61, 40, 47, 14, , 3
2020/3/9, 68, 44, 33, 18, , 4
2020/3/10, 69, 39, 26, 18, , 4
2020/3/11, 63, 40, 29, 13, , 4
2020/3/12, 74, 38, 48, 16, , 4
2020/3/13, 70, 30, 28, 13, , 3
2020/3/14, 50, 43, 14, 13, , 4
2020/3/15, 79, 44, 16, 14, , 5
2020/3/16, 87, 19, 20, 11, , 4
2020/3/17, 37, 15, 17, 13, , 4
2020/3/18, 27, 16, 17, 11, , 4
2020/3/19, 29, 32, 28, 11, , 4
2020/3/20, 55, 32, 42, 12, , 4
2020/3/21, 61, 25, 70, 11, , 3
2020/3/22, 48, 27, 41, 12, , 3
2020/3/23, 50, 20, 36, 13, , 2
2020/3/24, 36, 20, 38, 13, , 2
2020/3/25, 35, 20, 47, 10, , 1
2020/3/26, 36, 22, 54, 9, , 1
2020/3/27, 42, 22, 52, 10, , 1
2020/3/28, 39, 21, 46, 8, , 2
2020/3/29, 41, , , , , 
2019/10/27, 102, 29, , 10, , 
2019/10/28, 69, 24, , 10, , 
2019/10/29, 45, 48, , 14, , 
2019/10/30, 94, 48, , 13, , 
2019/10/31, 90, 34, , 13, , 
2019/11/1, 80, 22, , 13, , 
2019/11/2, 56, 24, , 11, , 
2019/11/3, 56, 34, , 13, , 
2019/11/4, 67, 60, , 23, , 
2019/11/5, 114, 71, , 18, , 
2019/11/6, 153, 72, , 22, , 
2019/11/7, 157, 64, , 25, , 
2019/11/8, 135, 67, , 18, , 
2019/11/9, 154, 72, , 17, , 
2019/11/10, 170, 67, , 23, , 
2019/11/11, 152, 67, , 18, , 
2019/11/12, 161, 60, , 16, , 
2019/11/13, 158, 18, , 11, , 
